"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3, C5, C7, C8, C9, C10, C11, C12, C16","10","1uF","Capacitor_SMD:C_0402_1005Metric",""
"2","C2, C4, C6","3","0.1uF","Capacitor_SMD:C_0402_1005Metric",""
"3","C13, C14, C15","3","4.7uF","Capacitor_SMD:C_0402_1005Metric",""
"4","FB1","1","2A/50mOhm","Inductor_SMD:L_0603_1608Metric",""
"5","J1","1","AudioJack3_SwitchTR","Jack_3.5mm:Jack_3.5mm_CUI_SJ1-3525N_Horizontal_edge_cut",""
"6","J2","1","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"7","J3","1","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"8","J4","1","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"9","JP1, JP2, JP3, JP4","4","Jumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm",""
"10","MK1","1","Microphone_Condenser","DigiKey:Mic_CMA-4544PF-W",""
"11","R1, R2","2","2.2k","Resistor_SMD:R_0402_1005Metric",""
"12","R3, R5","2","47k","Resistor_SMD:R_0402_1005Metric","DNP"
"13","R4, R6","2","47k","Resistor_SMD:R_0402_1005Metric",""
"14","R7","1","10k","Resistor_SMD:R_0402_1005Metric",""
"15","R8","1","10","Resistor_SMD:R_0402_1005Metric",""
"16","R9, R10","2","4.7k","Resistor_SMD:R_0402_1005Metric",""
"17","U1","1","TLV320ADC3101","QFN_drill0.3:VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias_drill0.3",""
"18","U2","1","AMS1117-1.8","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
